Smolt Ocean Survival Population,Managment Unit (FRAM),Latitude,Longitude,Calendar Year,Fishery_Plus_Escapement,Release_No,Smolt Ocean Survival Rate
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2009,399,30755,0.0129735
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2010,990.86,21278,0.046567347
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2011,3195.05,51932,0.061523723
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2012,1270.46,18732,0.067822977
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2013,1391.52,24028,0.057912435
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2014,1911.31,49580,0.03855002
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2015,476.2,7132,0.06676949
Quilcene H,Area 12A Wild,47.825445,-122.859826,1979,2627,24922,0.105408876
Quilcene H,Area 12A Wild,47.825445,-122.859826,1980,1216,16444,0.073947945
Quilcene H,Area 12A Wild,47.825445,-122.859826,1981,2176,24471,0.088921581
Quilcene H,Area 12A Wild,47.825445,-122.859826,1982,1638,28447,0.057580764
Quilcene H,Area 12A Wild,47.825445,-122.859826,1983,2411,29085,0.082894963
Quilcene H,Area 12A Wild,47.825445,-122.859826,1989,4676,69060,0.067709238
Quilcene H,Area 12A Wild,47.825445,-122.859826,1990,5257,77013,0.068261203
Quilcene H,Area 12A Wild,47.825445,-122.859826,1991,1670,65083,0.025659542
Quilcene H,Area 12A Wild,47.825445,-122.859826,1992,2564,62195,0.041225179
Quilcene H,Area 12A Wild,47.825445,-122.859826,1993,3649,38823,0.093990676
Quilcene H,Area 12A Wild,47.825445,-122.859826,1994,1323,24773,0.053404917
Quilcene H,Area 12A Wild,47.825445,-122.859826,1995,1422,40094,0.035466653
Quilcene H,Area 12A Wild,47.825445,-122.859826,1996,2126,44517,0.047757037
Quilcene H,Area 12A Wild,47.825445,-122.859826,1997,1389,49231,0.02821393
Quilcene H,Area 12A Wild,47.825445,-122.859826,1998,904,86272,0.010478487
Quilcene H,Area 12A Wild,47.825445,-122.859826,1999,3680,94648,0.038880906
Quilcene H,Area 12A Wild,47.825445,-122.859826,2000,4024,82909,0.048535141
Quilcene H,Area 12A Wild,47.825445,-122.859826,2002,3617,98106,0.036868285
Quilcene H,Area 12A Wild,47.825445,-122.859826,2003,4425,72202,0.061286391
Quilcene H,Area 12A Wild,47.825445,-122.859826,2004,4547,88194,0.051556795
Quilcene H,Area 12A Wild,47.825445,-122.859826,2005,1183,79584,0.014864797
Quilcene H,Area 12A Wild,47.825445,-122.859826,2006,3302,96885,0.034081643
Quilcene H,Area 12A Wild,47.825445,-122.859826,2007,3148,82109,0.038339281
Quilcene H,Area 12A Wild,47.825445,-122.859826,2008,3150,68486,0.045994802
Quilcene H,Area 12A Wild,47.825445,-122.859826,2009,1210,75415,0.016044553
Quilcene H,Area 12A Wild,47.825445,-122.859826,2010,4511.68,78261,0.057649148
Quilcene H,Area 12A Wild,47.825445,-122.859826,2011,4779.9,80532,0.059354046
Quilcene H,Area 12A Wild,47.825445,-122.859826,2012,4511.17,127789,0.035301708
Quilcene H,Area 12A Wild,47.825445,-122.859826,2013,1724.86,142038,0.012143652
Quilcene H,Area 12A Wild,47.825445,-122.859826,2014,3693.22,186673,0.019784436
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1972,3866,82802,0.046689693
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1973,3724,43925,0.084780876
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1975,4969,41128,0.120817934
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1976,4865,52928,0.091917322
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1979,7280,55550,0.131053105
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1980,4336,112571,0.038517913
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1981,6285,80384,0.078187201
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1982,5317,40291,0.131964955
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1983,2444,52487,0.046563911
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1984,1042,33216,0.031370424
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1985,5017,44358,0.113102484
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1996,68,9998,0.00680136
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2001,474,20064,0.023624402
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2002,751,40574,0.01850939
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2003,3321,92248,0.036000781
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2004,1707,90417,0.018879193
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2005,583,51908,0.011231409
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2009,80,51408,0.001556178
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2011,1373.87,44394,0.0309472
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2012,849.91,45606,0.018635925
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2013,551.23,52184,0.010563199
Minter Crk H,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2014,362.98,49332,0.007357902
Minter Crk W,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1982,1233,9825,0.125496183
Minter Crk W,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1983,2292,24572,0.093276901
Minter Crk W,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1984,567,10044,0.056451613
Minter Crk W,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,1985,1756,13040,0.134662577
Minter Crk W,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2003,155,12992,0.011930419
Minter Crk W,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2004,99,7583,0.013055519
Minter Crk W,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2005,117,11339,0.01031837
Minter Crk W,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2006,732,12168,0.060157791
Minter Crk W,Area 13 Miscellaneous Wild,47.26243266,-123.0158944,2007,185,19260,0.0096054
Baker H,Baker (Skagit) Wild,48.359837,-122.474162,1983,1585,89544,0.017700795
Baker H,Baker (Skagit) Wild,48.359837,-122.474162,1985,4939,122466,0.040329561
Baker H,Baker (Skagit) Wild,48.359837,-122.474162,1987,3333,100581,0.033137471
Baker H,Baker (Skagit) Wild,48.359837,-122.474162,1988,3141,87153,0.036040067
Baker H,Baker (Skagit) Wild,48.359837,-122.474162,1993,305,3680,0.082880435
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,1991,2627,24467,0.107369109
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,1992,976,21397,0.045613871
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,1993,1831,25921,0.070637707
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,1994,1603,27261,0.058801952
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,1995,1551,21060,0.073646724
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,1996,901,19687,0.045766242
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,1997,2182,21650,0.100785219
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,1998,729,25692,0.028374591
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,1999,1329,17130,0.077583187
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2002,455,11300,0.040265487
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2003,956,17229,0.05548784
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2004,290,19828,0.014625782
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2005,72,13317,0.005406623
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2006,1044,21910,0.047649475
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2007,304,19539,0.015558626
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2008,1031,10367,0.099450178
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2009,701,28130,0.024920014
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2010,633.47,19134,0.033107035
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2011,1328.49,20227,0.065679043
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2012,1559.15,29535,0.05278991
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2013,988.18,23591,0.041888008
Baker W,Baker (Skagit) Wild,48.359837,-122.474162,2014,131.02,17869,0.007332251
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1982,687,26040,0.026382488
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1983,1748,23824,0.07337139
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1984,274,31602,0.008670337
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1985,827,21369,0.038700922
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1986,469,17588,0.026665909
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1987,481,17149,0.028048283
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1988,336,12055,0.027872252
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1989,393,16482,0.023844194
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1990,1069,19396,0.055114457
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1991,414,20350,0.02034398
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1992,129,20491,0.006295447
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1993,83,18097,0.004586396
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1994,413,16357,0.025249129
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1995,1160,12325,0.094117647
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1996,117,13360,0.008757485
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1997,1476,59332,0.024876964
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1998,1033,44834,0.02304055
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,1999,1065,14395,0.073984022
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2000,2031,53163,0.038203262
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2001,1695,41140,0.041200778
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2002,797,26116,0.03051769
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2003,499,31490,0.0158463
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2004,545,22880,0.02381993
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2005,277,33106,0.008367063
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2006,389,22244,0.017487862
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2007,393,25015,0.015710574
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2008,1658,20046,0.082709768
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2009,2060,33916,0.060738295
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2010,1584.57,31471,0.050350164
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2011,2268.16,55303,0.041013327
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2012,816.66,42376,0.019271758
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2013,2345.19,38584,0.060781412
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2014,323.23,22848,0.014146971
Bingham Crk W,Chehalis River Wild,46.91656476,-124.1692596,2015,760.38,26816,0.028355459
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1973,2266,82415,0.027494995
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1974,2138,145688,0.014675196
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1975,3396,138394,0.024538636
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1976,592,119789,0.004942023
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1977,383,84391,0.004538399
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1982,974,103903,0.009374128
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1983,2771,84638,0.032739431
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1984,659,95080,0.006931005
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1985,1550,103939,0.014912593
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1986,1000,79315,0.012607956
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1987,1852,75862,0.024412749
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1988,2508,69421,0.036127397
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1989,2409,77071,0.031256893
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1990,6830,73803,0.092543664
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1991,2101,62288,0.033730414
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1992,1051,76053,0.01381931
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1993,352,68848,0.005112712
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1994,2577,120748,0.021341968
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1995,1638,110963,0.014761677
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1996,155,53382,0.0029036
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1997,2645,291245,0.009081701
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1998,2628,250147,0.010505823
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,1999,1418,150193,0.009441186
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2000,5382,138062,0.038982486
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2001,5287,137205,0.038533581
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2002,3430,142681,0.024039641
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2003,1566,139631,0.011215275
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2004,2118,140916,0.015030231
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2005,2129,144484,0.014735196
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2006,1519,193485,0.007850738
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2007,1028,143042,0.0071867
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2008,6011,196315,0.030619158
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2009,7245,147160,0.049232128
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2010,4602.22,144223,0.031910444
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2011,3228.47,184011,0.017544984
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2012,4059.1,143417,0.028302781
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2013,9393.1,200154,0.046929364
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2014,1618.18,145312,0.011135901
Satsop H,Chehalis River Wild,46.91656476,-124.1692596,2015,5739.21,142900,0.040162421
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1977,372,5857,0.063513744
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1979,1463,8755,0.167104512
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1980,1968,11258,0.174809025
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1981,3436,20402,0.168414861
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1982,2317,9845,0.235347892
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1983,1416,7085,0.199858857
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1984,2290,14455,0.158422691
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1985,1134,5126,0.221225127
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1986,2404,9777,0.245883195
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1987,3118,13199,0.236230017
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1988,681,7480,0.091042781
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1989,1624,11565,0.140423692
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1990,800,14704,0.054406964
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1991,223,1996,0.111723447
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1992,182,7154,0.025440313
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1993,581,3879,0.149780871
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1994,71,1354,0.052437223
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1995,138,3571,0.038644637
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1996,233,5817,0.040055011
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1997,19,1085,0.017511521
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,1999,267,3750,0.0712
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,2002,600,25864,0.023198268
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,2005,274,10136,0.02703236
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,2008,779,7451,0.104549725
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,2011,163.03,8941,0.018233978
Deschutes W,Deschutes River (WA) Wild,47.04361442,-122.9091057,2014,9.6,4962,0.001934704
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1972,637,23556,0.027041943
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1974,1705,39746,0.042897398
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1977,3690,82030,0.044983543
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1978,6789,87550,0.07754426
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1979,1586,18696,0.08483098
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1980,2224,21725,0.102370541
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1981,4388,50607,0.086707372
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1982,621,19843,0.031295671
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1985,4296,196183,0.021897922
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1988,6747,201224,0.033529798
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1991,269,10061,0.026736905
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1993,368,30488,0.012070323
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1994,1538,78796,0.019518757
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1995,1306,71391,0.018293622
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,1996,992,70807,0.014009914
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,2007,71,37790,0.001878804
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,2008,825,38695,0.021320584
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,2009,83,37601,0.002207388
Dungeness H,Dungeness River Wild,48.02334812,-123.0051816,2010,724.46,39048,0.018553063
Green H,Green River Wild,47.20559953,-121.5597143,1973,3782,71521,0.052879574
Green H,Green River Wild,47.20559953,-121.5597143,1974,1331,20221,0.06582266
Green H,Green River Wild,47.20559953,-121.5597143,1975,22863,357010,0.064040223
Green H,Green River Wild,47.20559953,-121.5597143,1976,26344,204535,0.128799472
Green H,Green River Wild,47.20559953,-121.5597143,1977,5239,187593,0.027927481
Green H,Green River Wild,47.20559953,-121.5597143,1979,1785,17776,0.100416292
Green H,Green River Wild,47.20559953,-121.5597143,1980,16004,184376,0.086800885
Green H,Green River Wild,47.20559953,-121.5597143,1981,18795,147155,0.12772247
Green H,Green River Wild,47.20559953,-121.5597143,1982,6922,49997,0.138448307
Green H,Green River Wild,47.20559953,-121.5597143,1983,3463,50539,0.06852134
Green H,Green River Wild,47.20559953,-121.5597143,1984,2832,25745,0.110001942
Green H,Green River Wild,47.20559953,-121.5597143,1985,5738,34139,0.168077565
Green H,Green River Wild,47.20559953,-121.5597143,1986,6850,46216,0.148217068
Green H,Green River Wild,47.20559953,-121.5597143,1989,4050,37021,0.109397369
Green H,Green River Wild,47.20559953,-121.5597143,1990,1623,47087,0.034468112
Green H,Green River Wild,47.20559953,-121.5597143,1991,1795,46218,0.038837682
Green H,Green River Wild,47.20559953,-121.5597143,1992,1147,45696,0.025100665
Green H,Green River Wild,47.20559953,-121.5597143,1993,8858,90574,0.097798485
Green H,Green River Wild,47.20559953,-121.5597143,1994,1515,44166,0.034302405
Green H,Green River Wild,47.20559953,-121.5597143,1995,883,44910,0.019661545
Green H,Green River Wild,47.20559953,-121.5597143,1996,304,46341,0.006560066
Green H,Green River Wild,47.20559953,-121.5597143,1997,536,46421,0.011546498
Green H,Green River Wild,47.20559953,-121.5597143,1998,852,85907,0.009917702
Green H,Green River Wild,47.20559953,-121.5597143,1999,3754,84308,0.04452721
Green H,Green River Wild,47.20559953,-121.5597143,2000,6417,99281,0.064634724
Green H,Green River Wild,47.20559953,-121.5597143,2001,8068,90094,0.089550913
Green H,Green River Wild,47.20559953,-121.5597143,2002,7529,126748,0.059401332
Green H,Green River Wild,47.20559953,-121.5597143,2003,16210,99273,0.163287097
Green H,Green River Wild,47.20559953,-121.5597143,2004,9305,143585,0.064804819
Green H,Green River Wild,47.20559953,-121.5597143,2005,4237,90326,0.046907867
Green H,Green River Wild,47.20559953,-121.5597143,2006,3589,89838,0.039949687
Green H,Green River Wild,47.20559953,-121.5597143,2007,3073,89974,0.034154311
Green H,Green River Wild,47.20559953,-121.5597143,2008,4282,90705,0.047207982
Green H,Green River Wild,47.20559953,-121.5597143,2009,1211,90759,0.013343029
Green H,Green River Wild,47.20559953,-121.5597143,2010,7365.73,137584,0.05353624
Green H,Green River Wild,47.20559953,-121.5597143,2011,9609.45,143865,0.066794912
Green H,Green River Wild,47.20559953,-121.5597143,2012,6980.48,138585,0.050369665
Green H,Green River Wild,47.20559953,-121.5597143,2013,5424.13,142430,0.038082778
Green H,Green River Wild,47.20559953,-121.5597143,2014,1101.13,146427,0.007519993
Green H,Green River Wild,47.20559953,-121.5597143,2015,621.39,94705,0.006561322
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1979,2197,10522,0.208800608
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1987,2876,48388,0.059436224
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1988,1035,50804,0.020372412
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1989,1388,50699,0.027377266
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1990,1138,50529,0.02252172
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1991,1155,50001,0.023099538
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1992,448,47214,0.009488711
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1993,1136,49012,0.023177997
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1994,881,52418,0.016807204
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1995,307,49384,0.006216588
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1998,18,92860,0.00019384
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,1999,9,45470,0.000197933
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,2000,272,49266,0.005521049
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,2002,69,32395,0.002129958
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,2005,287,44827,0.006402391
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,2006,451,35003,0.01288461
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,2007,353,40217,0.008777383
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,2008,303,44582,0.006796465
Kalama Crk H,Nisqually River Wild,47.08810867,-122.7012116,2009,85,49081,0.001731831
